1510428:1,1,10,-3017,2081,3.13;1,2,8,-835,-561,2.38;1,3,11,-2448,-528,1.73;0,4,15,-2334,2729,0.69;1,5,4,-347,1133,1.14;1,6,5,-346,1983,1.62;3,7,1,11,-3440,0.40;1,8,25,-3084,108,1.61;0,9,6,-2776,1828,0.57;4,10,-1,5550,4400,0.00;0,11,9,-561,1867,1.69;3,12,2,-3490,3685,0.44;1,13,7,-2546,2408,3.58;0,14,7,-2707,2070,3.37;4,15,-1,5550,4400,0.00;3,16,0,-1825,891,1.49;1,17,22,-3185,2834,1.72;0,18,11,-993,-1008,1.47;0,19,1,-4864,238,0.15;0,20,5,-3477,561,0.45;0,21,23,-1766,1393,2.50;1,22,3,-1284,2702,2.00;0,23,3,-3340,2120,0.30;1,24,20,-1723,1617,2.99;-1,25,-1,-2693,2013,0.00;1,26,24,3321,549,0.44;0,27,4,-3129,-496,0.84;4,28,-1,5550,4400,0.00;0,29,18,-2737,2313,1.04;:-2712,2388,0,133.62,A,Alive;:
1510429:1,1,10,-3019,2083,2.88;1,2,8,-838,-561,2.34;1,3,11,-2446,-517,1.73;0,4,15,-2334,2733,0.72;1,5,4,-349,1133,1.04;1,6,5,-350,1977,1.62;3,7,1,11,-3440,0.36;1,8,25,-3084,110,1.55;0,9,6,-2766,1825,0.57;4,10,-1,5550,4400,0.00;0,11,9,-571,1862,1.80;3,12,2,-3488,3684,0.27;1,13,7,-2559,2402,3.55;0,14,7,-2710,2057,3.30;4,15,-1,5550,4400,0.00;3,16,0,-1825,891,1.44;1,17,22,-3173,2828,1.89;0,18,11,-995,-1009,1.27;0,19,1,-4864,238,0.15;0,20,5,-3471,560,0.47;0,21,23,-1766,1385,2.44;1,22,3,-1289,2695,1.98;0,23,3,-3340,2120,0.26;1,24,20,-1735,1621,3.02;-1,25,-1,-2695,2001,0.00;1,26,24,3320,546,0.45;0,27,4,-3128,-497,0.79;4,28,-1,5550,4400,0.00;0,29,18,-2732,2312,1.02;:-2711,2386,0,174.91,A,Alive;:
1510430:1,1,10,-3020,2085,2.60;1,2,8,-840,-562,2.30;1,3,11,-2445,-506,1.73;0,4,15,-2333,2737,0.72;1,5,4,-350,1133,0.96;1,6,5,-353,1971,1.64;3,7,1,12,-3441,0.25;1,8,25,-3082,112,1.40;0,9,6,-2756,1822,0.57;4,10,-1,5550,4400,0.00;0,11,9,-582,1857,1.90;3,12,2,-3483,3681,0.27;1,13,7,-2571,2398,3.50;0,14,7,-2710,2044,3.20;4,15,-1,5550,4400,0.00;3,16,0,-1824,890,1.34;1,17,22,-3161,2826,2.05;0,18,11,-996,-1010,1.12;0,19,1,-4864,239,0.18;0,20,5,-3464,560,0.60;0,21,23,-1764,1379,2.35;1,22,3,-1294,2690,1.96;0,23,3,-3341,2121,0.24;1,24,20,-1749,1627,3.07;-1,25,-1,-2695,1988,0.00;1,26,24,3320,544,0.36;0,27,4,-3125,-501,0.82;4,28,-1,5550,4400,0.00;0,29,18,-2726,2312,1.01;:-2708,2384,0,180.76,A,Alive;:
1510431:1,1,10,-3020,2086,2.33;1,2,8,-841,-562,2.22;1,3,11,-2442,-495,1.73;0,4,15,-2333,2741,0.74;1,5,4,-351,1133,0.88;1,6,5,-357,1965,1.66;3,7,1,12,-3443,0.20;1,8,25,-3080,114,1.11;0,9,6,-2746,1820,0.57;4,10,-1,5550,4400,0.00;0,11,9,-593,1850,2.01;3,12,2,-3480,3676,0.24;1,13,7,-2583,2394,3.40;0,14,7,-2710,2030,3.18;4,15,-1,5550,4400,0.00;3,16,0,-1822,890,1.24;1,17,22,-3147,2820,2.18;0,18,11,-997,-1012,0.94;0,19,1,-4864,239,0.18;0,20,5,-3458,560,0.76;0,21,23,-1760,1374,2.25;1,22,3,-1300,2685,1.96;0,23,3,-3341,2121,0.21;1,24,20,-1765,1635,3.14;-1,25,-1,-2694,1974,0.00;1,26,24,3319,541,0.36;0,27,4,-3122,-503,0.79;4,28,-1,5550,4400,0.00;0,29,18,-2721,2315,1.01;:-2706,2381,0,58.32,A,Alive;:
1510432:1,1,10,-3018,2085,2.01;1,2,8,-840,-562,2.03;1,3,11,-2438,-483,1.65;0,4,15,-2333,2746,0.76;1,5,4,-351,1134,0.80;1,6,5,-362,1960,1.68;3,7,1,13,-3443,0.13;1,8,25,-3078,115,0.84;0,9,6,-2735,1817,0.92;4,10,-1,5550,4400,0.00;0,11,9,-605,1844,2.16;3,12,2,-3474,3671,0.26;1,13,7,-2595,2391,3.34;0,14,7,-2707,2016,3.18;4,15,-1,5550,4400,0.00;3,16,0,-1819,890,0.96;1,17,22,-3132,2814,2.31;0,18,11,-997,-1014,0.78;0,19,1,-4864,239,0.17;0,20,5,-3452,558,0.99;0,21,23,-1757,1368,2.18;1,22,3,-1306,2681,1.94;0,23,3,-3342,2122,0.21;1,24,20,-1780,1645,3.21;-1,25,-1,-2692,1959,0.00;1,26,24,3318,539,0.36;0,27,4,-3119,-506,0.79;4,28,-1,5550,4400,0.00;0,29,18,-2716,2321,1.04;:-2704,2380,0,100.62,A,Alive;:
1510433:1,1,10,-3015,2084,1.46;1,2,8,-838,-562,1.79;1,3,11,-2433,-471,1.81;0,4,15,-2333,2753,0.77;1,5,4,-352,1136,0.72;1,6,5,-365,1954,1.68;3,7,1,13,-3443,0.12;1,8,25,-3076,117,0.62;0,9,6,-2725,1813,1.48;4,10,-1,5550,4400,0.00;0,11,9,-617,1838,2.30;3,12,2,-3470,3668,0.13;1,13,7,-2606,2387,3.33;0,14,7,-2704,2002,3.18;4,15,-1,5550,4400,0.00;3,16,0,-1817,889,0.70;1,17,22,-3117,2809,2.50;0,18,11,-996,-1016,0.65;0,19,1,-4863,238,0.21;0,20,5,-3445,557,1.12;0,21,23,-1753,1361,2.00;1,22,3,-1313,2679,1.94;0,23,3,-3343,2123,0.25;1,24,20,-1797,1653,3.25;-1,25,-1,-2690,1946,0.00;1,26,24,3318,537,0.28;0,27,4,-3116,-509,0.86;4,28,-1,5550,4400,0.00;0,29,18,-2710,2325,1.10;:-2694,2367,0,60.91,A,Alive;:
1510434:1,1,10,-3010,2083,0.93;1,2,8,-836,-561,1.39;1,3,11,-2428,-458,2.05;0,4,15,-2333,2758,0.79;1,5,4,-352,1137,0.63;1,6,5,-370,1952,1.68;3,7,1,14,-3444,0.12;1,8,25,-3074,118,0.46;0,9,6,-2715,1809,2.03;4,10,-1,5550,4400,0.00;0,11,9,-630,1833,2.47;3,12,2,-3464,3665,0.44;1,13,7,-2618,2386,3.28;0,14,7,-2701,1989,3.11;4,15,-1,5550,4400,0.00;3,16,0,-1814,890,0.40;1,17,22,-3101,2805,2.67;0,18,11,-995,-1017,0.50;0,19,1,-4863,238,0.16;0,20,5,-3439,556,1.21;0,21,23,-1748,1356,1.99;1,22,3,-1321,2678,1.89;0,23,3,-3343,2123,0.23;1,24,20,-1813,1659,3.39;-1,25,-1,-2687,1933,0.00;1,26,24,3317,535,0.30;0,27,4,-3111,-512,0.92;4,28,-1,5550,4400,0.00;0,29,18,-2704,2324,1.11;:-2684,2355,0,243.92,A,Alive;:
1510435:1,1,10,-3006,2081,0.42;1,2,8,-833,-560,0.95;1,3,11,-2422,-444,2.42;0,4,15,-2332,2763,0.82;1,5,4,-352,1137,0.57;1,6,5,-374,1948,1.65;3,7,1,14,-3444,0.12;1,8,25,-3070,119,0.45;0,9,6,-2705,1804,2.25;4,10,-1,5550,4400,0.00;0,11,9,-643,1827,2.64;3,12,2,-3461,3663,0.69;1,13,7,-2628,2384,3.19;0,14,7,-2698,1976,3.09;4,15,-1,5550,4400,0.00;3,16,0,-1810,891,0.18;1,17,22,-3086,2800,2.89;0,18,11,-992,-1020,0.50;0,19,1,-4863,238,0.12;0,20,5,-3432,554,1.32;0,21,23,-1742,1349,1.89;1,22,3,-1329,2678,1.83;0,23,3,-3344,2125,0.21;1,24,20,-1828,1665,3.53;-1,25,-1,-2686,1921,0.00;1,26,24,3317,533,0.32;0,27,4,-3108,-514,0.91;4,28,-1,5550,4400,0.00;0,29,18,-2700,2321,1.19;:-2674,2342,0,449.04,A,Alive;:
1510436:1,1,10,-3001,2079,0.10;1,2,8,-829,-559,0.52;1,3,11,-2416,-429,2.62;0,4,15,-2331,2768,0.88;1,5,4,-352,1136,0.46;1,6,5,-379,1946,1.65;3,7,1,14,-3445,0.10;1,8,25,-3067,121,0.61;0,9,6,-2696,1800,2.38;4,10,-1,5550,4400,0.00;0,11,9,-656,1823,2.81;3,12,2,-3458,3661,0.92;1,13,7,-2638,2383,3.19;0,14,7,-2694,1963,3.08;4,15,-1,5550,4400,0.00;3,16,0,-1807,892,0.36;1,17,22,-3070,2797,3.09;0,18,11,-990,-1023,0.50;0,19,1,-4863,238,0.09;0,20,5,-3425,554,1.40;0,21,23,-1735,1341,1.96;1,22,3,-1338,2679,1.83;0,23,3,-3346,2127,0.25;1,24,20,-1841,1671,3.61;-1,25,-1,-2683,1909,0.00;1,26,24,3316,533,0.31;0,27,4,-3105,-517,0.94;4,28,-1,5550,4400,0.00;0,29,18,-2695,2314,1.30;:-2664,2329,0,529.84,A,Alive;:
1510437:1,1,10,-2996,2078,0.48;1,2,8,-825,-557,0.15;1,3,11,-2410,-415,2.80;0,4,15,-2331,2771,0.90;1,5,4,-352,1135,0.34;1,6,5,-383,1942,1.63;3,7,1,13,-3445,0.10;1,8,25,-3064,123,0.61;0,9,6,-2685,1795,2.46;4,10,-1,5550,4400,0.00;0,11,9,-668,1820,2.95;3,12,2,-3454,3659,0.94;1,13,7,-2647,2382,3.18;0,14,7,-2688,1952,3.13;4,15,-1,5550,4400,0.00;3,16,0,-1803,892,0.36;1,17,22,-3055,2794,3.29;0,18,11,-987,-1024,0.50;0,19,1,-4863,238,0.05;0,20,5,-3419,551,1.48;0,21,23,-1727,1334,1.96;1,22,3,-1349,2680,1.83;0,23,3,-3347,2127,0.26;1,24,20,-1854,1678,3.65;-1,25,-1,-2678,1896,0.00;1,26,24,3316,532,0.27;0,27,4,-3100,-519,0.96;4,28,-1,5550,4400,0.00;0,29,18,-2690,2307,1.33;:-2654,2317,0,1390.82,A,Alive;:
